"18 Digit Account ID Conversion","Account ID","Account Name","Billing Country (text only)","Website","Website URL cleaned","Crunchbase URL","Company NOT in Crunchbase","Company AIN'T BEEN CHECKED in Crunchbase"
"0012A00002GwvDHQAZ","0012A00002GwvDH","365 Data Science","Bulgaria","https://365datascience.com","365datascience.com","https://www.crunchbase.com/organization/365-data-science","0","0"
"0012A00002Iymb7QAB","0012A00002Iymb7","391 Investments, Inc.","United States","391investments.com","391investments.com","","0","1"
"0012A00002LjxNIQAZ","0012A00002LjxNI","3D CAD Printer, Inc.","United States","3dcadprinter.com","3dcadprinter.com","","0","1"
"0011Y00002rb4dMQAQ","0011Y00002rb4dM","3DES","United States","3desinc.biz","3desinc.biz","","0","1"
"0011Y00002rePy4QAE","0011Y00002rePy4","3dglue","Chinese Taipei","","","","0","1"
"0012A00002IymVvQAJ","0012A00002IymVv","3INCUBE","Poland","www.3incube.com","3incube.com","","0","1"
"0012A00002GMEJXQA5","0012A00002GMEJX","3k19 Technology","Australia","","","","0","1"
"0012A00002LsQMdQAN","0012A00002LsQMd","3keymedia LLC","United States","http://3keymedia.com","3keymedia.com","","0","1"
"0011Y00002reOokQAE","0011Y00002reOok","3rDi Laboratory Inc.","Canada","3rdixr.io","3rdixr.io","","0","1"
"0011Y00002reOtEQAU","0011Y00002reOtE","3RGE","Turkey","3rge.com","3rge.com","","0","1"
"0011Y00002kJOLsQAO","0011Y00002kJOLs","3tausendsassa","United States","","","","0","1"
"0012A00002LjxNJQAZ","0012A00002LjxNJ","41North Food Supply","United States","41northfood.com","41northfood.com","","0","1"
"0011Y00002rb4dNQAQ","0011Y00002rb4dN","42 Equals LLC","United States","http://42equals.com","42equals.com","","0","1"
"0011Y00002reOr7QAE","0011Y00002reOr7","42LAB","Singapore","http://www.42lab.io","42lab.io","https://www.crunchbase.com/organization/42lab","0","0"
"0012A00002FS4UbQAL","0012A00002FS4Ub","42mate","Argentina","https://www.42mate.com/","42mate.com/","https://www.crunchbase.com/organization/42mate","0","0"
"0011Y00002rcMGjQAM","0011Y00002rcMGj","4C","Belgium","https://www.weare4c.com","weare4c.com","https://www.crunchbase.com/organization/4c-c1eb","0","0"
"0012A00002LjxNKQAZ","0012A00002LjxNK","4friendly","United States","","","","0","1"
"0011Y00002re0h0QAA","0011Y00002re0h0","4Matt Tecnologia","Brazil","http://www.4matt.com.br","4matt.com.br","","1","0"
"0012A00002IymVPQAZ","0012A00002IymVP","4stay","United States","https://4stay.com","4stay.com","https://www.crunchbase.com/organization/fourstay","0","0"
"0011Y00002reOuvQAE","0011Y00002reOuv","4stay.com","United States","4stay.com","4stay.com","","0","1"
"0012A00002SHuaJQAT","0012A00002SHuaJ","4thought�","Australia","4thought.net","4thought.net","","0","1"
"0012A00002JLl9rQAD","0012A00002JLl9r","4TUNA","","https://www.4tuna.io","4tuna.io","https://www.crunchbase.com/organization/4tuna","0","0"
"0012A00002IymV8QAJ","0012A00002IymV8","500Gourdes.com","Haiti","https://www.500gourdes.com","500gourdes.com","https://www.crunchbase.com/organization/500gourdes-com","0","0"
"0011Y00002rb4dOQAQ","0011Y00002rb4dO","50skills","United States","https://50skills.com","50skills.com","https://www.crunchbase.com/organization/50skills","0","0"
"0012A00002LtcDzQAJ","0012A00002LtcDz","580 Strategies LLC","United States","http://580Strategies.com","580Strategies.com","","0","1"
"0011Y00002rb4dPQAQ","0011Y00002rb4dP","59 Souls Inc dba Varlarium Inc.","United States","http://www.varlarium.com","varlarium.com","","0","1"
"0012A00002DQRYJQA5","0012A00002DQRYJ","5AM Provisions, Inc.","United States","www.5-am.co","5-am.co","","0","1"
"0011Y00002rb4dQQAQ","0011Y00002rb4dQ","5 Calls","United States","https://5calls.org/","5calls.org/","https://www.crunchbase.com/organization/5-calls","0","0"
"0011Y0000357bOMQAY","0011Y0000357bOM","5P Consulting","United States","https://www.5pconsulting.biz/","5pconsulting.biz/","","1","0"
"0011Y00002nuUOAQA2","0011Y00002nuUOA","626 Water Polo Club Inc.","United States","http://626waterpolo.club","626waterpolo.club","","1","0"
"0011Y00002reOm9QAE","0011Y00002reOm9","6Degrees","United Arab Emirates","","","","0","1"
